date,effective_date,description,debit,credit,balance,category
2026-03-25,2026-03-25,TRANSFER FROM MCARE BENEFITS   406722297 MCARE | METRO,44.37,,5443.20,Transport
2026-03-25,2026-03-25,PAY/SALARY FROM J.J. RICHARDS &  44065 | LOCAL,35.02,,5408.18,Health
2026-03-26,2026-03-26,VISA DEBIT PURCHASE CARD 4532 1234 5678 9010 TERRY WHITE CHEMIST | CITY,41.49,,5366.69,Groceries
2026-03-27,2026-03-27,TRANSFER FROM MCARE BENEFITS   515147241 MCARE | OSKO / PAYID,52.57,,5314.12,Transfer
2026-03-28,2026-03-28,VISA DEBIT PURCHASE CARD 4532 1234 5678 9010 VODAFONE | CITY,89.73,,5224.39,Groceries
2026-03-28,2026-03-28,EFTPOS MEDICARE BENEFIT,7.63,,5216.76,Transport
2026-03-29,2026-03-29,OTHER PAYROLL CREDIT | FROM PAYROLL,,3850.00,9066.76,Wages
2026-03-29,2026-03-29,PAY/SALARY FROM J.J. RICHARDS &  65494 | TO BONUS,250.00,,8816.76,Savings
2026-03-29,2026-03-29,REVERSAL OF ACCOUNT SERVICING FEE MINIMUM $2000 IN DEPOSITS RECEIVED | MALL,34.33,,8782.43,Dining
2026-03-30,2026-03-30,PAY/SALARY FROM J.J. RICHARDS &  53654 | HWY,85.19,,8697.24,Fuel
2026-03-30,2026-03-30,EFTPOS PILOT\ | LOCAL,44.64,,8652.60,Health
2026-03-31,2026-03-31,REVERSAL OF ACCOUNT SERVICING FEE MINIMUM $2000 IN DEPOSITS RECEIVED | HOME LENDER · REF LN-other-9104,1680.00,,6972.60,Financial
2026-03-31,2026-03-31,PAYMENT TO HUMM BNPL        HUMM | DIRECT DEBIT,304.31,,6668.29,Health
2026-03-31,2026-03-31,CLOSING BALANCE,,,6668.29,BalanceMarker
