date,effective_date,description,debit,credit,balance,category
2026-03-22,2026-03-22,VISA-APPLE.COM/BILL SYDNEY AU#1234(TXN287844) | CITY,54.51,,5208.83,Groceries
2026-03-22,2026-03-22,Transfer from SAV 00299053 Mobile# 566055664 | LOCAL,31.71,,5177.12,Health
2026-03-23,2026-03-23,VISA-PRICELINE PHARMACY AU#1234(TXN864839),9.06,,5168.06,Transport
2026-03-23,2026-03-23,Transfer from SAV 00299053 Mobile# 563145226 | CITY,101.19,,5066.87,Groceries
2026-03-24,2026-03-24,VISA-OPTUS AU#1234(TXN650784) | LOCAL,52.80,,5014.07,Health
2026-03-26,2026-03-26,Debit Adjustment#923935-Int Tran Fee - AGL | CBD,8.57,,5005.50,Dining
2026-03-27,2026-03-27,Ext Tfr - NET#1044490261 to 47705034 JAMES SMITH ING - ING Direct | OSKO / PAYID,43.48,,4962.02,Transfer
2026-03-28,2026-03-28,VISA-JB HI FI AU#1234(TXN163546) | LOCAL,14.59,,4947.43,Health
2026-03-28,2026-03-28,Transfer from SAV 00299053 Mobile# 562137390 | LOCAL,50.48,,4896.95,Alcohol
2026-03-29,2026-03-29,ING PAYROLL CREDIT | FROM PAYROLL,,3850.00,8746.95,Wages
2026-03-29,2026-03-29,Ext Tfr - NET#1074026946 to 47316720 MICHAEL CHEN ING - ING Direct | TO BONUS,250.00,,8496.95,Savings
2026-03-29,2026-03-29,VISA-BIG W AU#1234(TXN189203) | SUBURB,77.65,,8419.30,Groceries
2026-03-30,2026-03-30,Transfer from SAV 00299053 Mobile# 566532749,52.08,,8367.22,Retail
2026-03-30,2026-03-30,VISA-APPLE.COM/BILL SYDNEY AU#1234(TXN887932) | RETAIL,49.39,,8317.83,HomeImprovement
2026-03-31,2026-03-31,Debit Adjustment#955571-Int Tran Fee - NETFLIX | HOME LENDER · REF LN-ing-9039,1680.00,,6637.83,Financial
2026-03-31,2026-03-31,Debit Adjustment#951911-Int Tran Fee - 7-ELEVEN | DIRECT DEBIT,304.31,,6333.52,Health
2026-03-31,2026-03-31,VISA-APPLE.COM/BILL SYDNEY AU#1234(TXN727954) | MALL,31.55,,6301.97,Retail
2026-03-31,2026-03-31,Transfer from SAV 00299053 Mobile# 563421109 | METRO,33.60,,6268.37,Transport
2026-03-31,2026-03-31,CLOSING BALANCE,,,6268.37,BalanceMarker
