date,effective_date,description,debit,credit,balance,category
2026-03-17,2026-03-17,MRS RHONDA IDA DO 09:32AM 10June Love Ra xx | DIRECT DEBIT,304.31,,5665.49,Health
2026-03-17,2026-03-17,10 | WEB,22.31,,5643.18,Entertainment
2026-03-18,2026-03-18,APPLE.COM/BILL Doreen AUS | CITY,66.66,,5576.52,Groceries
2026-03-19,2026-03-19,AUTHORISATION ONLY - EFTPOS PURCHASE AT JB HI FI SYDNEY 000AU | SUBSCRIPTION,187.23,,5389.29,Telecom
2026-03-21,2026-03-21,20 | CBD,10.89,,5378.40,Dining
2026-03-21,2026-03-21,MRS RHONDA IDA DO 09:05AM 15July Love Ra xx,16.41,,5361.99,Transport
2026-03-22,2026-03-22,AUTHORISATION ONLY - EFTPOS PURCHASE AT SHELL NEWCASTLE 000AU | MALL,21.73,,5340.26,Dining
2026-03-22,2026-03-22,CALTEX DOREEN AUS | MALL,13.94,,5326.32,Dining
2026-03-24,2026-03-24,DISNEY PLUS MELBOURNE AUS | MALL,18.32,,5308.00,Dining
2026-03-24,2026-03-24,AUTHORISATION ONLY - EFTPOS PURCHASE AT ORIGIN ENERGY NEWCASTLE 000AU | HWY,70.99,,5237.01,Fuel
2026-03-27,2026-03-27,MRS RHONDA IDA DO 17:24AM 14February Love Ra xx | OSKO / PAYID,86.89,,5150.12,Transfer
2026-03-27,2026-03-27,100 | HWY,65.27,,5084.85,Fuel
2026-03-28,2026-03-28,20 | HWY,92.93,,4991.92,Fuel
2026-03-28,2026-03-28,AUTHORISATION ONLY - EFTPOS PURCHASE AT AMPOL GOLD COAST 000AU | CBD,15.30,,4976.62,Dining
2026-03-29,2026-03-29,BANKWEST PAYROLL CREDIT | FROM PAYROLL,,3850.00,8826.62,Wages
2026-03-29,2026-03-29,MRS RHONDA IDA DO 13:05AM 9July Love Ra xx | TO BONUS,250.00,,8576.62,Savings
2026-03-29,2026-03-29,OPTUS Melbourne AUS | SUBURB,65.72,,8510.90,Groceries
2026-03-30,2026-03-30,TELSTRA Melbourne AUS | CITY,60.60,,8450.30,Groceries
2026-03-30,2026-03-30,APPLE.COM/BILL MELBOURNE AUS | RETAIL,113.53,,8336.77,HomeImprovement
2026-03-31,2026-03-31,BIG W MELBOURNE AUS | HOME LENDER · REF LN-bankwest-9052,1680.00,,6656.77,Financial
2026-03-31,2026-03-31,MRS RHONDA IDA DO 15:37AM 8August Love Ra xx | DIRECT DEBIT,304.31,,6352.46,Health
2026-03-31,2026-03-31,APPLE.COM/BILL Melbourne AUS | CITY,85.21,,6267.25,Groceries
2026-03-31,2026-03-31,HUNGRY JACKS Melbourne AUS | CBD,10.74,,6256.51,Dining
2026-03-31,2026-03-31,CLOSING BALANCE,,,6256.51,BalanceMarker
